
/start data
{'msec': 820.000000, 'rpm': 1964.400024, 'set_rpm': 3600.000000},
{'msec': 830.000000, 'rpm': 1992.000000, 'set_rpm': 3600.000000},
{'msec': 840.000000, 'rpm': 1974.000000, 'set_rpm': 3600.000000},
{'msec': 850.000000, 'rpm': 2006.400024, 'set_rpm': 3600.000000},
{'msec': 860.000000, 'rpm': 2047.199951, 'set_rpm': 3600.000000},
{'msec': 870.000000, 'rpm': 2100.000000, 'set_rpm': 3600.000000},
{'msec': 880.000000, 'rpm': 2113.199951, 'set_rpm': 3600.000000},
{'msec': 890.000000, 'rpm': 2122.800049, 'set_rpm': 3600.000000},
{'msec': 900.000000, 'rpm': 2090.399902, 'set_rpm': 3600.000000},
{'msec': 910.000000, 'rpm': 2104.800049, 'set_rpm': 3600.000000},
{'msec': 920.000000, 'rpm': 2204.399902, 'set_rpm': 3600.000000},
{'msec': 930.000000, 'rpm': 2182.800049, 'set_rpm': 3600.000000},
{'msec': 940.000000, 'rpm': 2239.199951, 'set_rpm': 3600.000000},
{'msec': 950.000000, 'rpm': 2221.199951, 'set_rpm': 3600.000000},
{'msec': 960.000000, 'rpm': 2260.800049, 'set_rpm': 3600.000000},
{'msec': 970.000000, 'rpm': 2305.199951, 'set_rpm': 3600.000000},
{'msec': 980.000000, 'rpm': 2270.399902, 'set_rpm': 3600.000000},
{'msec': 990.000000, 'rpm': 2313.600098, 'set_rpm': 3600.000000},
{'msec': 1000.000000, 'rpm': 2319.600098, 'set_rpm': 3600.000000},
{'msec': 1010.000000, 'rpm': 2264.399902, 'set_rpm': 3600.000000},
{'msec': 1020.000000, 'rpm': 2402.399902, 'set_rpm': 3600.000000},
{'msec': 1030.000000, 'rpm': 2367.600098, 'set_rpm': 3600.000000},
{'msec': 1040.000000, 'rpm': 2372.399902, 'set_rpm': 3600.000000},
{'msec': 1050.000000, 'rpm': 2383.199951, 'set_rpm': 3600.000000},
{'msec': 1060.000000, 'rpm': 2397.600098, 'set_rpm': 3600.000000},
{'msec': 1070.000000, 'rpm': 2424.000000, 'set_rpm': 3600.000000},
{'msec': 1080.000000, 'rpm': 2409.600098, 'set_rpm': 3600.000000},
{'msec': 1090.000000, 'rpm': 2418.000000, 'set_rpm': 3600.000000},
{'msec': 1100.000000, 'rpm': 2430.000000, 'set_rpm': 3600.000000},
{'msec': 1110.000000, 'rpm': 2456.399902, 'set_rpm': 3600.000000},
{'msec': 1120.000000, 'rpm': 2526.000000, 'set_rpm': 3600.000000},
{'msec': 1130.000000, 'rpm': 2497.199951, 'set_rpm': 3600.000000},
{'msec': 1140.000000, 'rpm': 2534.399902, 'set_rpm': 3600.000000},
{'msec': 1150.000000, 'rpm': 2480.399902, 'set_rpm': 3600.000000},
{'msec': 1160.000000, 'rpm': 2520.000000, 'set_rpm': 3600.000000},
{'msec': 1170.000000, 'rpm': 2594.399902, 'set_rpm': 3600.000000},
{'msec': 1180.000000, 'rpm': 2546.399902, 'set_rpm': 3600.000000},
{'msec': 1190.000000, 'rpm': 2572.800049, 'set_rpm': 3600.000000},
{'msec': 1200.000000, 'rpm': 2560.800049, 'set_rpm': 3600.000000},
{'msec': 1210.000000, 'rpm': 2569.199951, 'set_rpm': 3600.000000},
{'msec': 1220.000000, 'rpm': 2584.800049, 'set_rpm': 3600.000000},
{'msec': 1230.000000, 'rpm': 2581.199951, 'set_rpm': 3600.000000},
{'msec': 1240.000000, 'rpm': 2666.399902, 'set_rpm': 3600.000000},
{'msec': 1250.000000, 'rpm': 2604.000000, 'set_rpm': 3600.000000},
{'msec': 1260.000000, 'rpm': 2714.399902, 'set_rpm': 3600.000000},
{'msec': 1270.000000, 'rpm': 2637.600098, 'set_rpm': 3600.000000},
{'msec': 1280.000000, 'rpm': 2637.600098, 'set_rpm': 3600.000000},
{'msec': 1290.000000, 'rpm': 2671.199951, 'set_rpm': 3600.000000},
{'msec': 1300.000000, 'rpm': 2676.000000, 'set_rpm': 3600.000000},
{'msec': 1310.000000, 'rpm': 2702.399902, 'set_rpm': 3600.000000},
{'msec': 1320.000000, 'rpm': 2674.800049, 'set_rpm': 3600.000000},
{'msec': 1330.000000, 'rpm': 2707.199951, 'set_rpm': 3600.000000},
{'msec': 1340.000000, 'rpm': 2702.399902, 'set_rpm': 3600.000000},
{'msec': 1350.000000, 'rpm': 2796.000000, 'set_rpm': 3600.000000},
{'msec': 1360.000000, 'rpm': 2697.600098, 'set_rpm': 3600.000000},
{'msec': 1370.000000, 'rpm': 2760.000000, 'set_rpm': 3600.000000},
{'msec': 1380.000000, 'rpm': 2752.800049, 'set_rpm': 3600.000000},
{'msec': 1390.000000, 'rpm': 2744.399902, 'set_rpm': 3600.000000},
{'msec': 1400.000000, 'rpm': 2752.800049, 'set_rpm': 3600.000000},
{'msec': 1410.000000, 'rpm': 2752.800049, 'set_rpm': 3600.000000},
{'msec': 1420.000000, 'rpm': 2724.000000, 'set_rpm': 3600.000000},
{'msec': 1430.000000, 'rpm': 2798.399902, 'set_rpm': 3600.000000},
{'msec': 1440.000000, 'rpm': 2736.000000, 'set_rpm': 3600.000000},
{'msec': 1450.000000, 'rpm': 2797.199951, 'set_rpm': 3600.000000},
{'msec': 1460.000000, 'rpm': 2842.800049, 'set_rpm': 3600.000000},
{'msec': 1470.000000, 'rpm': 2754.000000, 'set_rpm': 3600.000000},
{'msec': 1480.000000, 'rpm': 2856.000000, 'set_rpm': 3600.000000},
{'msec': 1490.000000, 'rpm': 2779.199951, 'set_rpm': 3600.000000},
{'msec': 1500.000000, 'rpm': 2896.800049, 'set_rpm': 3600.000000},
{'msec': 1510.000000, 'rpm': 2760.000000, 'set_rpm': 3600.000000},
{'msec': 1520.000000, 'rpm': 2875.199951, 'set_rpm': 3600.000000},
{'msec': 1530.000000, 'rpm': 2847.600098, 'set_rpm': 3600.000000},
{'msec': 1540.000000, 'rpm': 2810.399902, 'set_rpm': 3600.000000},
{'msec': 1550.000000, 'rpm': 2880.000000, 'set_rpm': 3600.000000},
{'msec': 1560.000000, 'rpm': 2880.000000, 'set_rpm': 3600.000000},
{'msec': 1570.000000, 'rpm': 2805.600098, 'set_rpm': 3600.000000},
{'msec': 1580.000000, 'rpm': 2875.199951, 'set_rpm': 3600.000000},
{'msec': 1590.000000, 'rpm': 2882.399902, 'set_rpm': 3600.000000},
{'msec': 1600.000000, 'rpm': 2875.199951, 'set_rpm': 3600.000000},
{'msec': 1610.000000, 'rpm': 2924.399902, 'set_rpm': 3600.000000},
{'msec': 1620.000000, 'rpm': 2852.399902, 'set_rpm': 3600.000000},
{'msec': 1630.000000, 'rpm': 2944.800049, 'set_rpm': 3600.000000},
{'msec': 1640.000000, 'rpm': 2737.199951, 'set_rpm': 3600.000000},
{'msec': 1650.000000, 'rpm': 2767.199951, 'set_rpm': 3600.000000},
{'msec': 1660.000000, 'rpm': 2630.399902, 'set_rpm': 3600.000000},
{'msec': 1670.000000, 'rpm': 2352.000000, 'set_rpm': 3600.000000},
{'msec': 1680.000000, 'rpm': 2257.199951, 'set_rpm': 3600.000000},
{'msec': 1690.000000, 'rpm': 2241.600098, 'set_rpm': 3600.000000},
{'msec': 1700.000000, 'rpm': 2347.199951, 'set_rpm': 3600.000000},
{'msec': 1710.000000, 'rpm': 2296.800049, 'set_rpm': 3600.000000},
{'msec': 1720.000000, 'rpm': 2347.199951, 'set_rpm': 3600.000000},
{'msec': 1730.000000, 'rpm': 2320.800049, 'set_rpm': 3600.000000},
{'msec': 1740.000000, 'rpm': 2318.399902, 'set_rpm': 3600.000000},
{'msec': 1750.000000, 'rpm': 2397.600098, 'set_rpm': 3600.000000},
{'msec': 1760.000000, 'rpm': 2378.399902, 'set_rpm': 3600.000000},
{'msec': 1770.000000, 'rpm': 2386.800049, 'set_rpm': 3600.000000},
{'msec': 1780.000000, 'rpm': 2434.800049, 'set_rpm': 3600.000000},
{'msec': 1790.000000, 'rpm': 2395.199951, 'set_rpm': 3600.000000},
{'msec': 1800.000000, 'rpm': 2402.399902, 'set_rpm': 3600.000000},
{'msec': 1810.000000, 'rpm': 2415.600098, 'set_rpm': 3600.000000},
{'msec': 1820.000000, 'rpm': 2418.000000, 'set_rpm': 3600.000000},
{'msec': 1830.000000, 'rpm': 2438.399902, 'set_rpm': 3600.000000},
{'msec': 1840.000000, 'rpm': 2480.399902, 'set_rpm': 3600.000000},
{'msec': 1850.000000, 'rpm': 2490.000000, 'set_rpm': 3600.000000},
{'msec': 1860.000000, 'rpm': 2480.399902, 'set_rpm': 3600.000000},
{'msec': 1870.000000, 'rpm': 2518.800049, 'set_rpm': 3600.000000},
{'msec': 1880.000000, 'rpm': 2522.399902, 'set_rpm': 3600.000000},
{'msec': 1890.000000, 'rpm': 2536.800049, 'set_rpm': 3600.000000},
{'msec': 1900.000000, 'rpm': 2512.800049, 'set_rpm': 3600.000000},
{'msec': 1910.000000, 'rpm': 2557.199951, 'set_rpm': 3600.000000},
{'msec': 1920.000000, 'rpm': 2545.199951, 'set_rpm': 3600.000000},
{'msec': 1930.000000, 'rpm': 2533.199951, 'set_rpm': 3600.000000},
{'msec': 1940.000000, 'rpm': 2558.399902, 'set_rpm': 3600.000000},
{'msec': 1950.000000, 'rpm': 2583.600098, 'set_rpm': 3600.000000},
{'msec': 1960.000000, 'rpm': 2575.199951, 'set_rpm': 3600.000000},
{'msec': 1970.000000, 'rpm': 2598.000000, 'set_rpm': 3600.000000},
{'msec': 1980.000000, 'rpm': 2574.000000, 'set_rpm': 3600.000000},
{'msec': 1990.000000, 'rpm': 2649.600098, 'set_rpm': 3600.000000},
{'msec': 2000.000000, 'rpm': 2590.800049, 'set_rpm': 3600.000000},
{'msec': 2010.000000, 'rpm': 2661.600098, 'set_rpm': 3600.000000},
{'msec': 2020.000000, 'rpm': 2605.199951, 'set_rpm': 3600.000000},
{'msec': 2030.000000, 'rpm': 2685.600098, 'set_rpm': 3600.000000},
{'msec': 2040.000000, 'rpm': 2607.600098, 'set_rpm': 3600.000000},
{'msec': 2050.000000, 'rpm': 2691.600098, 'set_rpm': 3600.000000},
{'msec': 2060.000000, 'rpm': 2661.600098, 'set_rpm': 3600.000000},
{'msec': 2070.000000, 'rpm': 2643.600098, 'set_rpm': 3600.000000},
{'msec': 2080.000000, 'rpm': 2714.399902, 'set_rpm': 3600.000000},
{'msec': 2090.000000, 'rpm': 2701.199951, 'set_rpm': 3600.000000},
{'msec': 2100.000000, 'rpm': 2550.000000, 'set_rpm': 3600.000000},
{'msec': 2110.000000, 'rpm': 2554.800049, 'set_rpm': 3600.000000},
{'msec': 2120.000000, 'rpm': 2510.399902, 'set_rpm': 3600.000000},
{'msec': 2130.000000, 'rpm': 2318.399902, 'set_rpm': 3600.000000},
{'msec': 2140.000000, 'rpm': 2047.199951, 'set_rpm': 3600.000000},
{'msec': 2150.000000, 'rpm': 2048.399902, 'set_rpm': 3600.000000},
{'msec': 2160.000000, 'rpm': 2131.199951, 'set_rpm': 3600.000000},
{'msec': 2170.000000, 'rpm': 2076.000000, 'set_rpm': 3600.000000},
